rank,name,rate,quote,staff
23,龙猫,9.2,人人心中都有个龙猫，童年就永远不会消失。,导演: 宫崎骏 Hayao Miyazaki/主演: 日高法子 Noriko Hidaka / 坂本千夏 Ch
24,怦然心动,9.1,真正的幸福是来自内心深处。,导演: 罗伯·莱纳 Rob Reiner/主演: 玛德琳·卡罗尔 Madeline Carroll / 卡
25,控方证人,9.6,比利·怀德满分作品。,导演: 比利·怀尔德 Billy Wilder/主演: 泰隆·鲍华 Tyrone Power / 玛琳·
26,触不可及,9.3,满满温情的高雅喜剧。,导演: 奥利维·那卡什 Olivier Nakache / 艾力克·托兰达 Eric Toledano/主
27,蝙蝠侠：黑暗骑士,9.2,无尽的黑暗。,导演: 克里斯托弗·诺兰 Christopher Nolan/主演: 克里斯蒂安·贝尔 Christ
28,末代皇帝,9.3,“不要跟我比惨，我比你更惨”再适合这部电影不过了。,导演: 贝纳尔多·贝托鲁奇 Bernardo Bertolucci/主演: 尊龙 John Lone / 陈
29,寻梦环游记,9.1,死亡不是真的逝去，遗忘才是永恒的消亡。,导演: 李·昂克里奇 Lee Unkrich / 阿德里安·莫利纳 Adrian Molina/主演:
30,活着,9.3,张艺谋最好的电影。,导演: 张艺谋 Yimou Zhang/主演: 葛优 You Ge / 巩俐 Li Gong / 姜武 Wu Jiang
31,指环王3：王者无敌,9.2,史诗的终章。,导演: 彼得·杰克逊 Peter Jackson/主演: 伊利亚·伍德 Elijah Wood / 西恩
32,乱世佳人,9.3,Tomorrow is another day.,导演: 维克多·弗莱明 Victor Fleming / 乔治·库克 George Cukor/主演: 费
33,何以为家,9.1,凝视卑弱生命，用电影改变命运。,导演: 娜丁·拉巴基 Nadine Labaki/主演: 扎因·拉费阿 Zain al-Rafeea /
34,哈利·波特与魔法石,9.1,童话世界的开端。,导演: Chris Columbus/主演: Daniel Radcliffe / Emma Watson / Rupert Grint
35,飞屋环游记,9.0,最后那些最无聊的事情，才是最值得怀念的。 ,导演: 彼特·道格特 Pete Docter / 鲍勃·彼德森 Bob Peterson/主演: 爱德
36,素媛,9.3,受过伤害的人总是笑得最开心，因为他们不愿意让身边的人承受一样的痛苦。,导演: 李濬益 Jun-ik Lee/主演: 薛景求 Kyung-gu Sol / 严志媛 Ji-won Uhm
37,摔跤吧！爸爸,9.0,你不是在为你一个人战斗，你要让千千万万的女性看到女生并不是只能相夫教子。,导演: 涅提·蒂瓦里 Nitesh Tiwari/主演: 阿米尔·汗 Aamir Khan / 法缇玛
38,少年派的奇幻漂流,9.1,瑰丽壮观、无人能及的冒险之旅。,导演: 李安 Ang Lee/主演: 苏拉·沙玛 Suraj Sharma / 伊尔凡·可汗 Irrfan
39,十二怒汉,9.4,1957年的理想主义。 ,导演: Sidney Lumet/主演: 亨利·方达 Henry Fonda / 马丁·鲍尔萨姆 Marti
40,哈尔的移动城堡,9.1,带着心爱的人在天空飞翔。,导演: 宫崎骏 Hayao Miyazaki/主演: 倍赏千惠子 Chieko Baishô / 木村拓
41,鬼子来了,9.3,对敌人的仁慈，就是对自己残忍。,导演: 姜文 Wen Jiang/主演: 姜文 Wen Jiang / 香川照之 Teruyuki Kagawa /
42,我不是药神,9.0,对我们国家而言，这样的电影多一部是一部。,导演: 文牧野 Muye Wen/主演: 徐峥 Zheng Xu / 王传君 Chuanjun Wang / 周
43,大话西游之月光宝盒,9.0,旷古烁今。,导演: 刘镇伟 Jeffrey Lau/主演: 周星驰 Stephen Chow / 吴孟达 Man Tat Ng
44,天空之城,9.1,对天空的追逐，永不停止。 ,导演: 宫崎骏 Hayao Miyazaki/主演: 田中真弓 Mayumi Tanaka / 横泽启子 Ke
45,闻香识女人,9.1,史上最美的探戈。,导演: 马丁·布莱斯 Martin Brest/主演: 阿尔·帕西诺 Al Pacino / 克里斯
46,罗马假日,9.0,爱情哪怕只有一天。,导演: 威廉·惠勒 William Wyler/主演: 奥黛丽·赫本 Audrey Hepburn / 格
47,指环王2：双塔奇兵,9.1,承前启后的史诗篇章。,导演: 彼得·杰克逊 Peter Jackson/主演: 伊利亚·伍德 Elijah Wood / 西恩
48,猫鼠游戏,9.1,骗子大师和执著警探的你追我跑故事。 ,导演: 史蒂文·斯皮尔伯格 Steven Spielberg/主演: 莱昂纳多·迪卡普里奥 L
49,天堂电影院,9.2,那些吻戏，那些青春，都在影院的黑暗里被泪水冲刷得无比清晰。,导演: 朱塞佩·托纳多雷 Giuseppe Tornatore/主演: 菲利普·努瓦雷 Philipp
50,辩护人,9.2,电影的现实意义大过电影本身。,导演: 杨宇硕 Woo-seok Yang/主演: 宋康昊 Kang-ho Song / 金英爱 Yeong-ae
51,指环王1：护戒使者,9.1,传说的开始。,导演: 彼得·杰克逊 Peter Jackson/主演: 伊利亚·伍德 Elijah Wood / 西恩
52,大闹天宫,9.4,经典之作，历久弥新。,导演: 万籁鸣 Laiming Wan / 唐澄 Cheng  Tang/主演: 邱岳峰 Yuefeng Qiu /
53,钢琴家,9.2,音乐能化解仇恨。,导演: 罗曼·波兰斯基 Roman Polanski/主演: 艾德里安·布洛迪 Adrien Brod
